Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS10,Chrome 127.0.0.0,,,21-08-2024 15:20:26,21-08-2024 15:21:09,42.838s,PASSED
,,,,,,,
Test Cases/TC10,Chrome 127.0.0.0,,,21-08-2024 15:20:26,21-08-2024 15:21:09,42.763s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 15:20:27,21-08-2024 15:20:28,1.369s,PASSED
"navigateToUrl(""https://www.google.com.vn/"")",Chrome 127.0.0.0,,,21-08-2024 15:20:28,21-08-2024 15:20:30,1.629s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/textarea_Sign in_q""), ""123"")",Chrome 127.0.0.0,,,21-08-2024 15:20:30,21-08-2024 15:20:30,0.692s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 15:20:30,21-08-2024 15:20:31,0.666s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 15:20:31,21-08-2024 15:20:31,0.464s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 15:20:31,21-08-2024 15:20:32,0.459s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_Google/svg_1""))",Chrome 127.0.0.0,,,21-08-2024 15:20:32,21-08-2024 15:20:32,0.564s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 15:20:32,21-08-2024 15:20:33,0.450s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 15:20:33,21-08-2024 15:20:33,0.474s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 15:20:33,21-08-2024 15:20:34,0.480s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 15:20:34,21-08-2024 15:20:34,0.478s,PASSED
"click(findTestObject(""Object Repository/Page_Google/svg""))",Chrome 127.0.0.0,,,21-08-2024 15:20:34,21-08-2024 15:20:35,0.467s,PASSED
"click(findTestObject(""Object Repository/Page_Google/b_nhadatviet""))",Chrome 127.0.0.0,,,21-08-2024 15:20:35,21-08-2024 15:20:35,0.563s,PASSED
"click(findTestObject(""Object Repository/Page_123nhadatviet - Google Search/div_Not now""))",Chrome 127.0.0.0,,,21-08-2024 15:20:35,21-08-2024 15:21:09,33.758s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,21-08-2024 15:21:09,21-08-2024 15:21:09,0.102s,PASSED
